name,Growth conditions,rank,doi,vancomycin
Lactobacillus algidus,Anaerobic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus ceti,Strictly anaerobic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus composti,Microaerophilic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus delbrueckii subsp. bulgaricus,Microaerophilic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus delbrueckii subsp. delbrueckii,Microaerophilic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus delbrueckii subsp. indicus,Microaerophilic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus delbrueckii subsp. jakobsenii,Anaerobic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus delbrueckii subsp. lactis,Microaerophilic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus farciminis,Microaerophilic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus hilgardii,Preferably anaerobic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus pobuzihii,Microaerophilic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus sanfranciscensis,Anaerobic,Species,10.1128/AEM.01738-18,TRUE
Lactobacillus acetotolerans,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus acidifarinae,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus acidipiscis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus acidophilus,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus agilis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus alimentarius,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus amylolyticus,Preferably anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus amylophilus,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus amylotrophicus,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus amylovorus,Microaerophilic-anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus animalis,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus antri,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus apinorum,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus apis,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus apodemi,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus aquaticus,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus aviarius subsp. araffinosus,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus aviarius subsp. aviarius,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus backii,Preferably anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus bifermentans,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus bombi,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus bombicola,Strictly anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus brantae,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus brevis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus buchneri,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus cacaonum,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus camelliae,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacilllus capillatus,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus casei,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus colehominis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus collinoides,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus concavus,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus coryniformis subsp. coryniformis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus coryniformis subsp. torquens,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus crispatus,Preferably anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus crustorum,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus curieae,Facultatively anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus curvatus,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus dextrinicus,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus diolivorans,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus equi,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus equicursoris,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus equigenerosi,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus fabifermentans,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus faecis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus farraginis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus fermentum,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus floricola,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus florum,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus formosensis,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus fornicalis,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus fructivorans,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus frumenti,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus fuchuensis,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus furfuricola,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus futsaii,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus gallinarum,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus gasseri,Preferably anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus gastricus,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus ghanensis,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus gigeriorum,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus ginsenosidimutans,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus gorillae,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus graminis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus hammesii,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus hamsteri,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus harbinensis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus hayakitensis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus heilongjiangensis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus helsingborgensis,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus helveticus,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus herbarum,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus hokkaidonensis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus hominis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus homohiochii,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus hordei,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus iners,Anaerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus ingluviei,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus insicii,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus intestinalis,Aerobic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus iwatensis,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
Lactobacillus jensenii,Microaerophilic,Species,10.1128/AEM.01738-18,FALSE
