name	doi	aerobic_status	morphology	motility	spore_formation	gram_stain	bile_sensitive	saccharolytic	comments
Bacteroides	10.1099/00207713-39-1-85	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	growth in 20% bile	saccharolytic	
Prevotella	10.1099/00207713-40-2-205	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	no growth in 20% bile	saccharolytic	
Akkermansia	10.1099/ijs.0.02873-0	obligate anaerobe	oval-shaped/ coccobaccili	non-motile	not indicated	Gram-negative	not indicated	saccharolytic	
Anaerostripes	10.1078/0723-2020-00096	obligate anaerobe	rod/ bacilli	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic	
Anaerotruncas	10.1099/ijs.0.02653-0	facultative anaerobe	rod/ bacilli	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic	
Barnesiella	10.1099/ijs.0.64709-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	growth in 20% bile	saccharolytic	
Blautia	10.1099/ijs.0.65208-0	obligate anaerobe	cocci or oval-shaped	non-motile	mixed	Gram-positive	not indicated	saccharolytic	
Roseburia	10.1099/00207713-33-3-618	obligate anaerobe	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	saccharolytic	
Alloprevotella	10.1099/ijs.0.041376-0	obligate anaerobe	rod/ bacilli	non-motile	not indicated	Gram-negative	not indicated	saccharolytic	
Porphyromonas	10.1099/00207713-38-1-128	obligate anaerobe	rods or oval-shaped	non-motile	non-spore forming	Gram-negative	not indicated	asaccharolytic	
Paraprevotella	10.1099/ijs.0.008169-0	obligate anaerobe	not indicated	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic	
Parabacteroides	10.1099/ijs.0.64192-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	growth in 20% bile	saccharolytic	
Oscillibacter	10.1099/ijs.0.64717-0	obligate anaerobe	rods or slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	saccharolytic	
Odoribacter	10.1099/ijs.0.63458-0	anaerobe (unspecified)	fusiform	non-motile	non-spore forming	Gram-positive	not indicated	not indicated	
Faecalibacterium	10.1099/00207713-52-6-2141	obligate anaerobe	not indicated	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic	
Enterobacter	10.1099/0096266X-10-2-71	facultative anaerobe	rod/ bacilli	variable	not indicated	Gram-negative	not indicated	saccharolytic	
Shuttleworthia	10.1099/00207713-52-5-1469	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	no growth in 20% bile	saccharolytic	
Sediminibacterium	10.1099/ijs.0.65514-0	obligate anaerobe	rod/ bacilli	not indicated	not indicated	Gram-negative	not indicated	not indicated	
Peptoniphilus	10.1099/00207713-51-4-1521	obligate anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	asaccharolytic	
Moryella	10.1099/ijs.0.64705-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-variable	not indicated	saccharolytic	
Holdemania	10.1099/00207713-47-4-1201	obligate anaerobe	rod/ bacilli	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic	
Gordonibacter	10.1099/ijs.0.005900-0	obligate anaerobe	oval-shaped/ coccobaccili	motile	non-spore forming	Gram-positive	not indicated	asaccharolytic	
Dorea	10.1099/00207713-52-2-423	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic	
Sutterella	10.1099/00207713-46-1-252	microaerobe or anaerobe	rod/ bacilli	not indicated	not indicated	Gram-negative	no growth in 20% bile	asaccharolytic	
Sporobacter	10.1099/00207713-46-2-512	obligate anaerobe	rod/ bacilli	not indicated	spore forming	Gram-positive	not indicated	not indicated	
Pseudoflavonifractor	10.1099/ijs.0.016725-0	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-negative	not indicated	not indicated	
Flavonifractor	10.1099/ijs.0.016725-0	obligate anaerobe	rod/ bacilli	variable	mixed	Gram-variable	not indicated	asaccharolytic	
Achromobacter	10.1099/00207713-31-4-477	aerobe	rod/ bacilli	motile	non-spore forming	Gram-negative	not indicated	asaccharolytic	
Aerococcus	10.1099/00221287-8-3-475	facultative anaerobe	cocci	non-motile	not indicated	Gram-positive	growth in 20% bile	mixed	
Catenibacterium	10.1099/00207713-50-4-1595	obligate anaerobe	not indicated	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic	
Collinsella	10.1099/00207713-49-2-557	obligate anaerobe	cocci	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic	
Aggregatibacter	10.1099/ijs.0.64207-0	facultative anaerobe	rods or oval-shaped	non-motile	not indicated	Gram-negative	not indicated	saccharolytic	
Anaerococcus	10.1099/00207713-51-4-1521	obligate anaerobe	cocci	non-motile	not indicated	Gram-positive	not indicated	mixed	
Succinivibrio	N/A	anaerobe (unspecified)	slightly curved rods	motile	non-spore forming	Gram-negative	not indicated	saccharolytic	http://jb.asm.org/content/72/1/22.full.pdf
Lachnospira	N/A	anaerobe (unspecified)	slightly curved rods	motile	non-spore forming	Gram-positive	not indicated	saccharolytic	http://jb.asm.org/content/72/1/22.full.pdf
Parasutterella	10.1099/ijs.0.002519-0	obligate anaerobe	cocci or oval-shaped	non-motile	non-spore forming	Gram-negative	growth in 20% bile	asaccharolytic	
Paralactobacillus	10.1099/00207713-50-1-19	not indicated	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic	
Oribacterium	10.1099/ijs.0.63060-0	obligate anaerobe	ovoid	motile	non-spore forming	Gram-positive	not indicated	saccharolytic	
Ochrobactrum	10.1099/00207713-38-4-406	obligate anaerobe	rod/ bacilli	motile	not indicated	Gram-negative	not indicated	saccharolytic	
Murdochiella	10.1099/ijs.0.015909-0	obligate anaerobe	cocci	non-motile	not indicated	Gram-positive	no growth in 20% bile	asaccharolytic	
Mogibacterium	10.1099/00207713-50-2-679	obligate anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	asaccharolytic	
Megasphaera	10.1099/00207713-21-2-187	obligate anaerobe	cocci	non-motile	non-spore forming	Gram-negative	not indicated	saccharolytic	
