name	doi	aerobic_status	morphology	motility	spore_formation	gram_stain	bile_sensitive	saccharolytic	comments	urease	catalase	formate_production	acetate_production	propionate_production	butyrate_production	isobutyrate_production	valerate_production	isovalerate_production
Bacteroides vulgatus	N/A	not indicated	oval-shaped/ coccobaccili	non-motile	not indicated	Gram-negative	not indicated	saccharolytic	http://jb.asm.org/content/25/4/389.full.pdf+html	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Aggregatibacter actinomycetemcomitans	10.1099/ijs.0.64207-0	not indicated	rod/ bacilli	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Bifidobacterium dentium	10.1099/00207713-24-1-6	anaerobe (unspecified)	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Corynebacterium kroppenstedtii	10.1099/00207713-48-4-1449	facultative anaerobe	not indicated	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Gardnerella vaginalis	10.1099/00207713-30-1-170	facultative anaerobe	pleomorphic	non-motile	not indicated	Gram-variable	not indicated	saccharolytic		urease negative	not indicated	not indicated	major product	not indicated	not indicated	not indicated	not indicated	not indicated
Lactobacillus acidophilus	10.1099/00207713-20-3-325	not indicated	rod/ bacilli	not indicated	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Lactobacillus iners	10.1099/00207713-49-1-217	facultative anaerobe	rod/ bacilli	non-motile	non-spore forming	Gram-positive	not indicated	saccharolytic		not indicated	catalase negative	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
Lactobacillus jensenii	10.1099/00221287-62-2-219	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	saccharolytic		not indicated	not indicated	not producted	not producted	not producted	not producted	not producted	not producted	not producted
Lactobacillus rhamnosus	10.1099/00207713-39-2-105	not indicated	rod/ bacilli	non-motile	not indicated	not indicated	not indicated	saccharolytic		urease negative	not indicated	not producted	not producted	not producted	not producted	not producted	not producted	not producted
Aerococcus christensenii	10.1099/00207713-49-3-1125	facultative anaerobe	cocci	non-motile	non-spore forming	Gram-positive	not indicated	not indicated		urease negative	catalase negative	not indicated	not producted	not indicated	not indicated	not indicated	not indicated	not indicated
Akkermansia muciniphila	10.1099/ijs.0.02873-0	anaerobe (unspecified)	oval-shaped/ coccobaccili	non-motile	not indicated	Gram-negative	not indicated	not indicated		not indicated	not indicated	not indicated	not producted	not indicated	not producted	not indicated	not indicated	not indicated
Achromobacter xylosoxidans	10.1099/00207713-31-4-477	obligate anaerobe	rod/ bacilli	motile	non-spore forming	Gram-negative	not indicated	asaccharolytic		urease negative	catalase positive	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated	not indicated
