D50541	1	1411	s93	Abiotrophia defectiva	type sp.	Aerococcaceae	2	http://www.bacterio.net/abiotrophia.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Lactobacillales;Aerococcaceae	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia
KP233895	1	1520	s128	Abyssivirga alkaniphila	type sp.	Lachnospiraceae		http://www.bacterio.net/abyssivirga.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Abyssivirga
AB303221	1	1453	s100	Acanthopleuribacter pedis	type sp.	Acanthopleuribacteraceae		http://www.bacterio.net/acanthopleuribacter.html	Bacteria;Acidobacteria;Holophagae	Bacteria;Acidobacteria;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter
AJ812213	1	1478	s93	Acaricomes phytoseiuli	type sp.	Micrococcaceae	1, n2	http://www.bacterio.net/acaricomes.html	Bacteria;Actinobacteria;Actinobacteria;Microccocales and Actinomycetaceae;Micrococcaceae-Brevibacteriaceae and Bifidobacteriales	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Acaricomes
AY487928	1	1533	s93	Acetanaerobacterium elongatum	type sp.	Ruminococcaceae	1	http://www.bacterio.net/acetanaerobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Ruminococcaceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetanaerobacterium
HM989805	1	1376	s115	Acetatifactor muris	type sp.	Lachnospiraceae		http://www.bacterio.net/acetatifactor.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor
M59083	1	1478	s93	Acetitomaculum ruminis	type sp.	Lachnospiraceae	1	http://www.bacterio.net/acetitomaculum.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetitomaculum
L35516	1	1464	s93	Acetivibrio cellulolyticus	type sp.	Ruminococcaceae	1	http://www.bacterio.net/acetivibrio.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Ruminococcaceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio
FR749897	1	1529	s108	Acetivibrio ethanolgignens		Ruminococcaceae	2, t	http://www.bacterio.net/acetivibrio.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Lachnospiraceae branch	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio
GU562448	1	1415	s104	Acetoanaerobium noterae	type sp.	Unclassified Clostridiales	1	http://www.bacterio.net/acetoanaerobium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Peptostreptococcaceae branch	Bacteria;Firmicutes;Clostridia;Unclassified Clostridiales;Acetoanaerobium
KJ174056	1	1384	s128	Acetoanaerobium pronyense		Unclassified Clostridiales		http://www.bacterio.net/acetoanaerobium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Peptostreptococcaceae branch	Bacteria;Firmicutes;Clostridia;Unclassified Clostridiales;Acetoanaerobium
X74066	1	1480	s93	Acetobacter aceti	type sp.	Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AJ419843	1	1442	s93	Acetobacter cerevisiae		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB052710	1	1414	s93	Acetobacter cibinongensis		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AJ419838	1	1440	s93	Acetobacter estunensis		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AM905849	1	1442	s100	Acetobacter fabarum		Acetobacteraceae		http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB602333	1	1417	s108	Acetobacter farinalis		Acetobacteraceae		http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
EF030713	1	1442	s93	Acetobacter ghanensis		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB032356	1	1454	s93	Acetobacter indonesiensis		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
HF969863	1	1442	s119	Acetobacter lambici		Acetobacteraceae		http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB032351	1	1443	s93	Acetobacter lovaniensis		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AJ419844	1	1442	s93	Acetobacter malorum		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
HM162854	1	1434	s128	Acetobacter musti		Acetobacteraceae		http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AY669513	1	1451	s93	Acetobacter nitrogenifigens		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AY829472	1	1484	s93	Acetobacter oeni		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB665068	1	1412	s115	Acetobacter okinawensis		Acetobacteraceae		http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB052706	1	1401	s93	Acetobacter orientalis		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB032350	1	1443	s93	Acetobacter orleanensis		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB665066	1	1406	s115	Acetobacter papayae		Acetobacteraceae		http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
FM178866	1	1517	s100	Acetobacter pasteurianus subsp. ascendens		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Bacillaceae;Planococcaceae branch	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
GU205100	1	1462	s111	Acetobacter pasteurianus subsp. paradoxus		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
X71863	1	1479	s93	Acetobacter pasteurianus subsp. pasteurianus		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB032352	1	1335	s93	Acetobacter peroxydans		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB665070	1	1412	s115	Acetobacter persici		Acetobacteraceae		http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AJ419835	1	1440	s93	Acetobacter pomorum		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AY883036	1	1386	s93	Acetobacter senegalensis		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AJ419840	1	1440	s119	Acetobacter sicerae		Acetobacteraceae		http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB052712	1	1412	s93	Acetobacter syzygii		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB937775	1	1413	s128	Acetobacter thailandicus		Acetobacteraceae		http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
AB032355	1	1443	s93	Acetobacter tropicalis		Acetobacteraceae	1	http://www.bacterio.net/acetobacter.html	Bacteria;Alpha-Beta and Gammaproteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter
X96960	1	1459	s93	Acetobacterium bakii		Eubacteriaceae	1	http://www.bacterio.net/acetobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Eubacteriaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
X96956	1	1469	s93	Acetobacterium carbinolicum		Eubacteriaceae	1	http://www.bacterio.net/acetobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Eubacteriaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
X96959	1	1469	s93	Acetobacterium fimetarium		Eubacteriaceae	1	http://www.bacterio.net/acetobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Eubacteriaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
X96957	1	1469	s93	Acetobacterium malicum		Eubacteriaceae	1	http://www.bacterio.net/acetobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Eubacteriaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
X96958	1	1459	s93	Acetobacterium paludosum		Eubacteriaceae	1	http://www.bacterio.net/acetobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Eubacteriaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
AJ297449	1	1478	s93	Acetobacterium tundrae		Eubacteriaceae	1	http://www.bacterio.net/acetobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Eubacteriaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
X96955	1	1474	s93	Acetobacterium wieringae		Eubacteriaceae	1	http://www.bacterio.net/acetobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Eubacteriaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
X96954	1	1475	s93	Acetobacterium woodii	type sp.	Eubacteriaceae	1	http://www.bacterio.net/acetobacterium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Clostridiales;Eubacteriaceae	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium
AB611036	1	1440	s121	Acetobacteroides hydrogenigenes	type sp.	Rikenellaceae		http://www.bacterio.net/acetobacteroides.html	Bacteria;Bacteroidetes;Flavobacteriales and Bacteroidales;Bacteroidales	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Acetobacteroides
CP002105	433660	435184	s108	Acetohalobium arabaticum	type sp.	Halobacteroidaceae	1	http://www.bacterio.net/acetohalobium.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Halanaerobiales;Halobacteroidaceae	Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Acetohalobium
FR733692	1	1516	s108	Acetomicrobium flavidum	type sp.	Bacteroidaceae	1	http://www.bacterio.net/acetomicrobium.html	Bacteria;Acetomicrobium	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Acetomicrobium
FJ862996	1	1444	s111	Acetomicrobium hydrogeniformans		Bacteroidaceae		http://www.bacterio.net/acetomicrobium.html	Bacteria;Acetomicrobium	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Acetomicrobium
AB910748	1	1433	s128	Acetomicrobium mobile		Bacteroidaceae	1	http://www.bacterio.net/acetomicrobium.html	Bacteria;Acetomicrobium	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Acetomicrobium
U50711	1	1526	s93	Acetomicrobium thermoterrenum		Bacteroidaceae	1	http://www.bacterio.net/acetomicrobium.html	Bacteria;Acetomicrobium	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Acetomicrobium
AJ010964	1	1510	s93	Acetonema longum	type sp.	Sporomusaceae	1	http://www.bacterio.net/acetonema.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Negativicutes;Selenomonadales and Veillonellales	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;Acetonema
AF412968	1	1463	s93	Acholeplasma axanthum		Acholeplasmataceae	2, t	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
AY538163	1	1430	s93	Acholeplasma brassicae		Acholeplasmataceae	1	http://www.bacterio.net/acholeplasma.html	Bacteria;Firmicutes-Tenericutes-Negativicutes and Cyanobacteria;Bacilli and Tenericutes;Tenericutes;Acholeplasmatales	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma
